"Data","À vista R$","À vista US$"
"2008-01","267.84","151.00"
"2008-02","285.19","165.24"
"2008-03","263.28","154.26"
"2008-04","256.35","151.96"
"2008-05","254.84","153.60"
"2008-06","255.76","158.05"
"2008-07","250.52","157.46"
"2008-08","248.86","154.31"
"2008-09","261.58","145.62"
"2008-10","256.84","118.07"
"2008-11","261.28","115.03"
"2008-12","262.04","109.10"
"2009-01","268.41","116.23"
"2009-02","269.34","116.59"
"2009-03","262.48","113.55"
"2009-04","260.10","117.97"
"2009-05","268.02","130.10"
"2009-06","256.64","131.01"
"2009-07","247.50","128.20"
"2009-08","255.34","138.32"
"2009-09","254.29","139.85"
"2009-10","262.20","150.91"
"2009-11","272.55","157.76"
"2009-12","281.57","160.82"
"2010-01","280.75","157.55"
"2010-02","278.68","151.81"
"2010-03","279.70","156.59"
"2010-04","282.18","160.57"
"2010-05","289.46","159.43"
"2010-06","305.99","169.22"
"2010-07","302.36","170.81"
"2010-08","313.93","178.40"
"2010-09","328.23","190.95"
"2010-10","327.15","194.20"
"2010-11","355.51","207.54"
"2010-12","387.01","228.37"
"2011-01","433.34","258.55"
"2011-02","495.98","297.28"
"2011-03","524.27","315.91"
"2011-04","524.41","330.82"
"2011-05","530.76","329.11"
"2011-06","514.99","324.37"
"2011-07","457.81","292.83"
"2011-08","470.62","294.98"
"2011-09","511.57","292.46"
"2011-10","490.45","277.26"
"2011-11","493.83","275.69"
"2011-12","491.35","267.30"
"2012-01","485.04","271.39"
"2012-02","441.31","256.94"
"2012-03","387.53","216.20"
"2012-04","379.53","204.52"
"2012-05","382.65","192.79"
"2012-06","360.31","175.71"
"2012-07","408.06","201.02"
"2012-08","378.48","186.64"
"2012-09","385.92","190.37"
"2012-10","374.98","184.76"
"2012-11","355.23","171.61"
"2012-12","341.40","164.15"
"2013-01","341.17","168.13"
"2013-02","317.72","160.95"
"2013-03","303.46","152.88"
"2013-04","300.59","150.11"
"2013-05","297.25","145.86"
"2013-06","285.71","131.49"
"2013-07","287.57","127.68"
"2013-08","286.18","122.07"
"2013-09","273.90","120.84"
"2013-10","253.94","115.88"
"2013-11","247.73","107.75"
"2013-12","272.10","115.90"
"2014-01","289.44","121.45"
"2014-02","366.32","153.96"
"2014-03","437.24","187.79"
"2014-04","449.45","201.45"
"2014-05","429.28","193.22"
"2014-06","396.73","177.47"
"2014-07","387.87","174.33"
"2014-08","437.19","192.76"
"2014-09","433.52","185.81"
"2014-10","480.13","196.14"
"2014-11","460.96","180.61"
"2014-12","455.20","172.39"
"2015-01","465.93","176.77"
"2015-02","459.99","163.39"
"2015-03","447.10","142.24"
"2015-04","445.69","146.55"
"2015-05","421.95","137.88"
"2015-06","424.02","136.35"
"2015-07","414.50","128.63"
"2015-08","454.98","129.57"
"2015-09","456.95","117.05"
"2015-10","478.11","123.31"
"2015-11","469.39","124.29"
"2015-12","479.32","123.94"
"2016-01","491.31","121.21"
"2016-02","489.82","123.32"
"2016-03","491.07","132.94"
"2016-04","466.71","131.40"
"2016-05","460.37","130.20"
"2016-06","484.87","142.00"
"2016-07","498.52","152.15"
"2016-08","479.04","149.35"
"2016-09","502.95","154.57"
"2016-10","511.07","160.61"
"2016-11","556.74","166.83"
"2016-12","501.80","149.66"
"2017-01","514.23","161.03"
"2017-02","508.65","163.98"
"2017-03","485.92","155.46"
"2017-04","467.63","148.96"
"2017-05","455.69","142.04"
"2017-06","445.85","135.27"
"2017-07","451.90","141.28"
"2017-08","458.77","145.63"
"2017-09","453.46","144.61"
"2017-10","445.95","139.61"
"2017-11","452.88","138.96"
"2017-12","447.36","135.78"
"2018-01","446.42","139.10"
"2018-02","438.33","135.18"
"2018-03","429.82","131.18"
"2018-04","430.71","126.39"
"2018-05","451.02","124.03"
"2018-06","452.52","119.67"
"2018-07","439.25","114.79"
"2018-08","421.16","107.24"
"2018-09","415.39","101.15"
"2018-10","441.23","117.45"
"2018-11","441.59","116.63"
"2018-12","420.32","108.24"
"2019-01","410.87","109.95"
"2019-02","407.70","109.58"
"2019-03","395.61","102.95"
"2019-04","384.35","98.69"
"2019-05","389.04","97.38"
"2019-06","411.94","106.70"
"2019-07","423.67","112.09"
"2019-08","408.74","101.61"
"2019-09","430.63","104.43"
"2019-10","421.59","103.26"
"2019-11","475.11","114.22"
"2019-12","545.17","132.66"
"2020-01","493.03","118.90"
"2020-02","481.91","110.86"
"2020-03","556.28","113.73"
"2020-04","584.56","109.76"
"2020-05","574.16","101.82"
"2020-06","483.25","93.00"
"2020-07","505.97","95.90"
"2020-08","578.85","106.03"
"2020-09","564.62","104.66"
"2020-10","536.60","95.33"
"2020-11","565.47","104.38"
"2020-12","594.33","115.62"
"2021-01","639.71","119.40"
"2021-02","685.21","126.35"
"2021-03","731.86","129.75"
"2021-04","744.14","133.81"
"2021-05","822.24","155.39"
"2021-06","850.96","169.36"
"2021-07","914.54","177.15"
"2021-08","1033.92","196.96"
"2021-09","1087.61","205.48"
"2021-10","1222.20","220.78"
"2021-11","1347.73","242.40"
"2021-12","1452.15","256.67"
"2022-01","1482.59","268.44"
"2022-02","1485.35","286.16"
"2022-03","1284.41","258.71"
"2022-04","1251.33","263.40"
"2022-05","1261.08","255.04"
